Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry
ATLO,Ames National Corporation,29.5,$274.67M,n/a,Finance,Major Banks
AMGN,Amgen Inc.,147.36,$109.62B,1983,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
FOLD,"Amicus Therapeutics, Inc.",8.87,$1.26B,2007,Health Care,Major Pharmaceuticals
AMKR,"Amkor Technology, Inc.",11.8,$2.8B,1998,Technology,Semiconductors
AMPH,"Amphastar Pharmaceuticals, Inc.",21.55,$991.81M,2014,Health Care,Major Pharmaceuticals
IBUY,Amplify Online Retail ETF,27.7178,n/a,n/a,n/a,n/a
AMSG,Amsurg Corp.,68.31,$3.74B,n/a,Health Care,Medical/Nursing Services
AMSGP,Amsurg Corp.,127.9469,$220.71M,n/a,Health Care,Medical/Nursing Services
ASYS,"Amtech Systems, Inc.",5.35,$70.48M,n/a,Technology,Industrial Machinery/Components
AFSI,"AmTrust Financial Services, Inc.",26.04,$4.44B,n/a,Finance,Property-Casualty Insurers
AMRS,"Amyris, Inc.",0.7906,$207.94M,2010,Basic Industries,Major Chemicals
ADI,"Analog Devices, Inc.",68.21,$20.97B,n/a,Technology,Semiconductors
ALOG,Analogic Corporation,91.9,$1.14B,1972,Capital Goods,Electrical Products
AVXL,Anavex Life Sciences Corp.,3.2,$114.27M,n/a,Health Care,Biotechnology: Commercial Physical & Biological Resarch
ANCB,Anchor Bancorp,26,$65.14M,2011,Finance,Banks
ANDA,Andina Acquisition Corp. II,9.95,$52.83M,2015,Finance,Business Services
ANDAR,Andina Acquisition Corp. II,0.3999,n/a,2015,Finance,Business Services
ANDAU,Andina Acquisition Corp. II,10.5,$17.33M,2015,Finance,Business Services
ANDAW,Andina Acquisition Corp. II,0.19,n/a,2015,Finance,Business Services
ANGI,"Angie&#39;s List, Inc.",8.6,$508.72M,2011,Consumer Services,Advertising
ANGO,"AngioDynamics, Inc.",16.78,$623.28M,2004,Health Care,Medical/Dental Instruments
ANIP,"ANI Pharmaceuticals, Inc.",58.49,$677.97M,n/a,Health Care,Major Pharmaceuticals
ANIK,Anika Therapeutics Inc.,45.09,$659.36M,n/a,Health Care,Medical/Dental Instruments
ANSS,"ANSYS, Inc.",93.53,$8.09B,1996,Technology,Computer Software: Prepackaged Software
ATRS,"Antares Pharma, Inc.",1.85,$286.91M,n/a,Health Care,Medical/Dental Instruments
ANTH,"Anthera Pharmaceuticals, Inc.",1.89,$79.3M,2010,Health Care,Major Pharmaceuticals
ABAC,"Aoxin Tianli Group, Inc.",2.88,$23.01M,n/a,Consumer Non-Durables,Farming/Seeds/Milling
APOG,"Apogee Enterprises, Inc.",46.9,$1.36B,n/a,Capital Goods,Auto Parts:O.E.M.
APOL,"Apollo Education Group, Inc.",9.48,$1.04B,1994,Consumer Services,Other Consumer Services
AINV,Apollo Investment Corporation,6.05,$1.33B,2004,n/a,n/a
AMEH,"Apollo Medical Holdings, Inc.",4,n/a,n/a,n/a,n/a
APPF,"AppFolio, Inc.",21.55,$726.16M,2015,Technology,Computer Software: Prepackaged Software
AAPL,Apple Inc.,109.95,$586.29B,1980,Technology,Computer Manufacturing
ARCI,"Appliance Recycling Centers of America, Inc.",1.01,$6.72M,n/a,Consumer Services,Home Furnishings
